run_id,agent_actions,instance_id,repo,base_commit,status,success,failed_tests,agent_seconds,eval_seconds,total_seconds,junie_returncode,eval_returncode,output_dir,error
20260505-193654,41,sphinx-doc__sphinx-10323,sphinx-doc/sphinx,31eba1a76dd485dc633cae48227b46879eda5df4,failed,False,2,214.006,1.551,217.814,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-193654/sphinx-doc__sphinx-10323,
20260505-193654,57,sphinx-doc__sphinx-10435,sphinx-doc/sphinx,f1061c012e214f16fd8790dec3c283d787e3daa8,failed,False,1,313.657,4.704,320.565,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-193654/sphinx-doc__sphinx-10435,
20260505-193654,61,sphinx-doc__sphinx-10466,sphinx-doc/sphinx,cab2d93076d0cca7c53fac885f927dde3e2a5fec,passed,True,0,217.803,1.553,221.579,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-193654/sphinx-doc__sphinx-10466,
20260506-201212,42,sphinx-doc__sphinx-10673,sphinx-doc/sphinx,f35d2a6cc726f97d0e859ca7a0e1729f7da8a6c8,passed,True,0,136.046,1.044,138.252,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260506-201212/sphinx-doc__sphinx-10673,
20260506-190028,68,sphinx-doc__sphinx-11510,sphinx-doc/sphinx,6cb783c0024a873722952a67ebb9f41771c8eb6d,failed,False,1,362.462,1.164,365.195,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260506-190028/sphinx-doc__sphinx-11510,
20260515-173855,65,sphinx-doc__sphinx-7590,sphinx-doc/sphinx,2e506c5ab457cba743bb47eb5b8c8eb9dd51d23d,failed,False,1,0.018,4.06,5.96,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-173855/sphinx-doc__sphinx-7590,
20260515-172126,54,sphinx-doc__sphinx-7748,sphinx-doc/sphinx,9988d5ce267bf0df4791770b469431b1fb00dcdd,failed,False,2,0.041,2.639,7.17,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-7748,
20260515-173855,44,sphinx-doc__sphinx-7757,sphinx-doc/sphinx,212fd67b9f0b4fae6a7c3501fdf1a9a5b2801329,failed,False,1,0.016,2.023,3.904,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-173855/sphinx-doc__sphinx-7757,
20260515-172126,64,sphinx-doc__sphinx-7985,sphinx-doc/sphinx,f30284ef926ebaf04b176f21b421e2dffc679792,failed,False,8,0.051,5.443,9.645,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-7985,
20260515-173855,66,sphinx-doc__sphinx-8035,sphinx-doc/sphinx,5e6da19f0e44a0ae83944fb6ce18f18f781e1a6e,passed,True,0,0.015,1.958,3.824,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-173855/sphinx-doc__sphinx-8035,
20260515-172126,45,sphinx-doc__sphinx-8056,sphinx-doc/sphinx,e188d56ed1248dead58f3f8018c0e9a3f99193f7,passed,True,0,0.041,1.641,5.918,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8056,
20260515-173855,54,sphinx-doc__sphinx-8265,sphinx-doc/sphinx,b428cd2404675475a5c3dc2a2b0790ba57676202,passed,True,0,0.02,1.536,3.29,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-173855/sphinx-doc__sphinx-8265,
20260515-175119,46,sphinx-doc__sphinx-8269,sphinx-doc/sphinx,1e2ccd8f0eca0870cf6f8fce6934e2da8eba9b72,passed,True,0,0.014,4.1,5.106,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-175119/sphinx-doc__sphinx-8269,
20260515-174550,57,sphinx-doc__sphinx-8475,sphinx-doc/sphinx,3ea1ec84cc610f7a9f4f6b354e264565254923ff,passed,True,0,0.012,4.893,5.95,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-174550/sphinx-doc__sphinx-8475,
20260515-172126,83,sphinx-doc__sphinx-8548,sphinx-doc/sphinx,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,failed,False,1,0.028,2.337,6.19,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8548,
20260515-172126,44,sphinx-doc__sphinx-8551,sphinx-doc/sphinx,57ed10c68057c96491acbd3e62254ccfaf9e3861,passed,True,0,0.033,3.097,6.953,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8551,
20260515-172126,56,sphinx-doc__sphinx-8638,sphinx-doc/sphinx,4b452338f914d4f6b54704222d70ae8a746e3db5,failed,False,1,0.05,3.111,7.516,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8638,
20260515-172126,46,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,82ef497a8c88f0f6e50d84520e7276bfbf65025d,failed,False,1,0.033,2.942,6.849,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8721,
20260515-172126,101,sphinx-doc__sphinx-9229,sphinx-doc/sphinx,876fa81e0a038cda466925b85ccf6c5452e0f685,failed,False,1,0.058,2.675,7.001,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9229,
