run_id,agent_actions,instance_id,repo,base_commit,status,success,failed_tests,agent_seconds,eval_seconds,total_seconds,junie_returncode,eval_returncode,output_dir,error
20260508-095235,42,django__django-11790,django/django,b1d6b35e146aea83b171c1b921178bbaae2795ed,failed,False,2,158.268,2.205,161.885,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-095235/django__django-11790,
20260508-101332,57,django__django-11815,django/django,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,passed,True,0,322.388,2.119,326.035,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-101332/django__django-11815,
20260508-114059,20,django__django-11848,django/django,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,passed,True,0,166.442,2.111,169.924,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-114059/django__django-11848,
20260508-114501,29,django__django-11880,django/django,06909fe084f87a65459a83bd69d7cdbe4fce9a7c,passed,True,0,93.994,2.252,97.642,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-114501/django__django-11880,
20260508-115451,31,django__django-11885,django/django,04ac9b45a34440fa447feb6ae934687aacbfc5f4,passed,True,0,209.751,1.767,213.651,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-11885,
20260508-115451,25,django__django-11951,django/django,312049091288dbba2299de8d07ea3e3311ed7238,passed,True,0,82.755,1.927,86.725,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-11951,
20260508-115451,59,django__django-11964,django/django,fc2b1cc926e34041953738e58fa6ad3053059b22,passed,True,0,345.813,1.249,349.248,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-11964,
20260508-115451,52,django__django-11999,django/django,84633905273fc916e3d17883810d9969c03f73c2,passed,True,0,245.033,1.321,248.406,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-11999,
20260508-115451,34,django__django-12039,django/django,58c1acb1d6054dfec29d0f30b1033bae6ef62aec,passed,True,0,237.847,1.317,241.162,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-12039,
20260508-121357,33,django__django-12050,django/django,b93a0e34d9b9b99d41103782b7e7aeabf47517e3,passed,True,0,155.087,1.249,158.464,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-121357/django__django-12050,
20260508-121357,37,django__django-12143,django/django,5573a54d409bb98b5c5acdb308310bed02d392c2,passed,True,0,138.898,2.741,143.742,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-121357/django__django-12143,
20260508-121357,34,django__django-12155,django/django,e8fcdaad5c428878d0a5d6ba820d957013f75595,passed,True,0,143.685,1.231,146.95,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-121357/django__django-12155,
20260508-121357,38,django__django-12193,django/django,3fb7c12158a2402f0f80824f6778112071235803,passed,True,0,178.304,1.236,181.553,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-121357/django__django-12193,
20260508-130555,66,django__django-12209,django/django,5a68f024987e6d16c2626a31bf653a2edddea579,failed,False,12,409.705,221.422,632.581,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-130555/django__django-12209,
20260508-132146,19,django__django-9296,django/django,84322a29ce9b0940335f8ab3d60e55192bef1e50,passed,True,0,104.72,5.18,113.902,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-9296,
20260508-132146,29,django__django-12262,django/django,69331bb851c34f05bc77e9fc24020fe6908b9cd5,passed,True,0,197.766,24.79,232.328,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12262,
20260508-132146,45,django__django-12273,django/django,927c903f3cd25c817c21738328b53991c035b415,passed,True,0,363.814,1.59,369.935,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12273,
20260508-132146,26,django__django-12276,django/django,53d8646f799de7f92ab9defe9dc56c6125448102,passed,True,0,133.507,8.644,146.055,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12276,
20260508-132146,41,django__django-12304,django/django,4c1b401e8250f9f520b3c7dc369554477ce8b15a,passed,True,0,205.062,16.646,231.359,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12304,
20260508-132146,43,django__django-12308,django/django,2e0f04507b17362239ba49830d26fec504d46978,failed,False,1,174.365,25.036,209.112,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12308,
20260508-132146,42,django__django-12325,django/django,29c126bb349526b5f1cd78facbe9f25906f18563,failed,False,2,246.501,4.7,256.715,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12325,
