instance_id,repo,base_commit,status,success,agent_seconds,eval_seconds,total_seconds,junie_returncode,eval_returncode,output_dir,error
django__django-12713,django/django,5b884d45ac5b76234eca614d90c83b347294c332,passed,True,121.29,4.732,130.929,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12713,
django__django-12276,django/django,53d8646f799de7f92ab9defe9dc56c6125448102,passed,True,133.507,8.644,146.055,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12276,
django__django-12308,django/django,2e0f04507b17362239ba49830d26fec504d46978,failed,False,174.365,25.036,209.112,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12308,
django__django-12304,django/django,4c1b401e8250f9f520b3c7dc369554477ce8b15a,passed,True,205.062,16.646,231.359,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12304,
django__django-12262,django/django,69331bb851c34f05bc77e9fc24020fe6908b9cd5,passed,True,197.766,24.79,232.328,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12262,
django__django-9296,django/django,84322a29ce9b0940335f8ab3d60e55192bef1e50,passed,True,104.72,5.18,113.902,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-9296,
django__django-12325,django/django,29c126bb349526b5f1cd78facbe9f25906f18563,failed,False,246.501,4.7,256.715,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12325,
django__django-12708,django/django,447980e72ac01da1594dd3373a03ba40b7ee6f80,passed,True,251.4,4.059,261.184,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12708,
django__django-12406,django/django,335c9c94acf263901fb023404408880245b0c4b4,failed,False,288.069,4.834,299.229,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12406,
django__django-12774,django/django,67f9d076cfc1858b94f9ed6d1a5ce2327dcc8d0d,passed,True,339.013,2.919,347.506,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12774,
django__django-12273,django/django,927c903f3cd25c817c21738328b53991c035b415,passed,True,363.814,1.59,369.935,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12273,
