instance_id,regular_run_id,explained_run_id,regular_agent_actions,explained_agent_actions,regular_repo,explained_repo,regular_base_commit,explained_base_commit,regular_status,explained_status,regular_success,explained_success,regular_failed_tests,explained_failed_tests,regular_agent_seconds,explained_agent_seconds,regular_eval_seconds,explained_eval_seconds,regular_total_seconds,explained_total_seconds,regular_junie_returncode,explained_junie_returncode,regular_eval_returncode,explained_eval_returncode,regular_output_dir,explained_output_dir,regular_error,explained_error
django__django-11790,20260504-162324,20260508-095235,51,42,django/django,django/django,b1d6b35e146aea83b171c1b921178bbaae2795ed,b1d6b35e146aea83b171c1b921178bbaae2795ed,failed,failed,False,False,2,2,195.738,158.268,1.592,2.205,202.975,161.885,0,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11790,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-095235/django__django-11790,,
django__django-11815,20260504-162324,20260508-101332,46,57,django/django,django/django,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,passed,passed,True,True,0,0,205.225,322.388,1.256,2.119,212.391,326.035,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11815,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-101332/django__django-11815,,
django__django-11848,20260504-162324,20260508-114059,25,20,django/django,django/django,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,passed,passed,True,True,0,0,215.484,166.442,1.226,2.111,222.652,169.924,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11848,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-114059/django__django-11848,,
django__django-11880,20260504-162324,20260508-114501,38,29,django/django,django/django,06909fe084f87a65459a83bd69d7cdbe4fce9a7c,06909fe084f87a65459a83bd69d7cdbe4fce9a7c,passed,passed,True,True,0,0,209.449,93.994,1.37,2.252,216.788,97.642,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11880,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-114501/django__django-11880,,
django__django-11885,20260504-162324,20260508-115451,45,31,django/django,django/django,04ac9b45a34440fa447feb6ae934687aacbfc5f4,04ac9b45a34440fa447feb6ae934687aacbfc5f4,passed,passed,True,True,0,0,287.383,209.751,1.554,1.767,294.875,213.651,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11885,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-11885,,
django__django-11951,20260504-162324,20260508-115451,34,25,django/django,django/django,312049091288dbba2299de8d07ea3e3311ed7238,312049091288dbba2299de8d07ea3e3311ed7238,passed,passed,True,True,0,0,131.745,82.755,1.412,1.927,139.206,86.725,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11951,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-11951,,
django__django-11964,20260504-162324,20260508-115451,67,59,django/django,django/django,fc2b1cc926e34041953738e58fa6ad3053059b22,fc2b1cc926e34041953738e58fa6ad3053059b22,passed,passed,True,True,0,0,254.542,345.813,1.196,1.249,261.755,349.248,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11964,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-11964,,
django__django-11999,20260504-162324,20260508-115451,62,52,django/django,django/django,84633905273fc916e3d17883810d9969c03f73c2,84633905273fc916e3d17883810d9969c03f73c2,passed,passed,True,True,0,0,321.382,245.033,1.41,1.321,328.866,248.406,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11999,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-11999,,
django__django-12039,20260504-162324,20260508-115451,36,34,django/django,django/django,58c1acb1d6054dfec29d0f30b1033bae6ef62aec,58c1acb1d6054dfec29d0f30b1033bae6ef62aec,passed,passed,True,True,0,0,156.234,237.847,1.307,1.317,163.763,241.162,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-12039,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-115451/django__django-12039,,
django__django-12050,20260504-162324,20260508-121357,25,33,django/django,django/django,b93a0e34d9b9b99d41103782b7e7aeabf47517e3,b93a0e34d9b9b99d41103782b7e7aeabf47517e3,passed,passed,True,True,0,0,94.961,155.087,1.26,1.249,102.475,158.464,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-12050,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-121357/django__django-12050,,
django__django-12143,20260505-183129,20260508-121357,25,37,django/django,django/django,5573a54d409bb98b5c5acdb308310bed02d392c2,5573a54d409bb98b5c5acdb308310bed02d392c2,passed,passed,True,True,0,0,264.246,138.898,3.476,2.741,286.311,143.742,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12143,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-121357/django__django-12143,,
django__django-12155,20260505-183129,20260508-121357,22,34,django/django,django/django,e8fcdaad5c428878d0a5d6ba820d957013f75595,e8fcdaad5c428878d0a5d6ba820d957013f75595,passed,passed,True,True,0,0,110.289,143.685,2.131,1.231,132.999,146.95,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12155,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-121357/django__django-12155,,
django__django-12193,20260505-183129,20260508-121357,33,38,django/django,django/django,3fb7c12158a2402f0f80824f6778112071235803,3fb7c12158a2402f0f80824f6778112071235803,passed,passed,True,True,0,0,369.671,178.304,1.715,1.236,388.666,181.553,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12193,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-121357/django__django-12193,,
django__django-12209,20260505-183129,20260508-130555,48,66,django/django,django/django,5a68f024987e6d16c2626a31bf653a2edddea579,5a68f024987e6d16c2626a31bf653a2edddea579,failed,failed,False,False,9,12,409.759,409.705,348.948,221.422,779.842,632.581,0,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12209,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-130555/django__django-12209,,
django__django-9296,20260505-183129,20260508-132146,16,19,django/django,django/django,84322a29ce9b0940335f8ab3d60e55192bef1e50,84322a29ce9b0940335f8ab3d60e55192bef1e50,passed,passed,True,True,0,0,55.115,104.72,3.71,5.18,64.788,113.902,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-9296,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-9296,,
django__django-12262,20260505-183129,20260508-132146,34,29,django/django,django/django,69331bb851c34f05bc77e9fc24020fe6908b9cd5,69331bb851c34f05bc77e9fc24020fe6908b9cd5,passed,passed,True,True,0,0,153.32,197.766,3.273,24.79,178.306,232.328,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12262,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12262,,
django__django-12273,20260505-183129,20260508-132146,53,45,django/django,django/django,927c903f3cd25c817c21738328b53991c035b415,927c903f3cd25c817c21738328b53991c035b415,passed,passed,True,True,0,0,399.754,363.814,2.959,1.59,424.326,369.935,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12273,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260508-132146/django__django-12273,,
