instance_id,regular_run_id,explained_run_id,regular_agent_actions,explained_agent_actions,regular_repo,explained_repo,regular_base_commit,explained_base_commit,regular_status,explained_status,regular_success,explained_success,regular_failed_tests,explained_failed_tests,regular_agent_seconds,explained_agent_seconds,regular_eval_seconds,explained_eval_seconds,regular_total_seconds,explained_total_seconds,regular_junie_returncode,explained_junie_returncode,regular_eval_returncode,explained_eval_returncode,regular_output_dir,explained_output_dir,regular_error,explained_error
sphinx-doc__sphinx-10323,20260505-193654,20260515-222808,41,34,sphinx-doc/sphinx,sphinx-doc/sphinx,31eba1a76dd485dc633cae48227b46879eda5df4,31eba1a76dd485dc633cae48227b46879eda5df4,failed,failed,False,False,2,2,214.006,163.91,1.551,2.339,217.814,167.876,0,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-193654/sphinx-doc__sphinx-10323,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-10323,,
sphinx-doc__sphinx-10435,20260505-193654,20260516-112512,57,61,sphinx-doc/sphinx,sphinx-doc/sphinx,f1061c012e214f16fd8790dec3c283d787e3daa8,f1061c012e214f16fd8790dec3c283d787e3daa8,failed,failed,False,False,1,2,313.657,0.012,4.704,4.421,320.565,4.642,0,,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-193654/sphinx-doc__sphinx-10435,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained-reeval-testsfix/20260516-112512/sphinx-doc__sphinx-10435,,
sphinx-doc__sphinx-10466,20260505-193654,20260515-222808,61,39,sphinx-doc/sphinx,sphinx-doc/sphinx,cab2d93076d0cca7c53fac885f927dde3e2a5fec,cab2d93076d0cca7c53fac885f927dde3e2a5fec,passed,passed,True,True,0,0,217.803,136.501,1.553,2.075,221.579,140.116,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-193654/sphinx-doc__sphinx-10466,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-10466,,
sphinx-doc__sphinx-10673,20260506-201212,20260516-113523,42,78,sphinx-doc/sphinx,sphinx-doc/sphinx,f35d2a6cc726f97d0e859ca7a0e1729f7da8a6c8,f35d2a6cc726f97d0e859ca7a0e1729f7da8a6c8,passed,passed,True,True,0,0,136.046,533.992,1.044,0.99,138.252,535.339,0,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260506-201212/sphinx-doc__sphinx-10673,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained-rerun/20260516-113523/sphinx-doc__sphinx-10673,,
sphinx-doc__sphinx-11510,20260506-190028,20260515-222808,68,59,sphinx-doc/sphinx,sphinx-doc/sphinx,6cb783c0024a873722952a67ebb9f41771c8eb6d,6cb783c0024a873722952a67ebb9f41771c8eb6d,failed,failed,False,False,1,1,362.462,278.832,1.164,1.306,365.195,281.674,0,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260506-190028/sphinx-doc__sphinx-11510,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-11510,,
sphinx-doc__sphinx-7590,20260515-173855,20260515-222808,65,61,sphinx-doc/sphinx,sphinx-doc/sphinx,2e506c5ab457cba743bb47eb5b8c8eb9dd51d23d,2e506c5ab457cba743bb47eb5b8c8eb9dd51d23d,failed,failed,False,False,1,1,0.018,317.309,4.06,3.717,5.96,323.422,,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-173855/sphinx-doc__sphinx-7590,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-7590,,
sphinx-doc__sphinx-7748,20260515-172126,20260515-222808,54,64,sphinx-doc/sphinx,sphinx-doc/sphinx,9988d5ce267bf0df4791770b469431b1fb00dcdd,9988d5ce267bf0df4791770b469431b1fb00dcdd,failed,failed,False,False,2,2,0.041,248.616,2.639,1.975,7.17,253.355,,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-7748,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-7748,,
sphinx-doc__sphinx-7757,20260515-173855,20260515-222808,44,30,sphinx-doc/sphinx,sphinx-doc/sphinx,212fd67b9f0b4fae6a7c3501fdf1a9a5b2801329,212fd67b9f0b4fae6a7c3501fdf1a9a5b2801329,failed,failed,False,False,1,1,0.016,127.013,2.023,1.15,3.904,129.829,,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-173855/sphinx-doc__sphinx-7757,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-7757,,
sphinx-doc__sphinx-7985,20260515-172126,20260515-222808,64,51,sphinx-doc/sphinx,sphinx-doc/sphinx,f30284ef926ebaf04b176f21b421e2dffc679792,f30284ef926ebaf04b176f21b421e2dffc679792,failed,failed,False,False,8,8,0.051,326.156,5.443,5.255,9.645,333.603,,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-7985,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-7985,,
sphinx-doc__sphinx-8035,20260515-173855,20260515-222808,66,83,sphinx-doc/sphinx,sphinx-doc/sphinx,5e6da19f0e44a0ae83944fb6ce18f18f781e1a6e,5e6da19f0e44a0ae83944fb6ce18f18f781e1a6e,passed,passed,True,True,0,0,0.015,293.868,1.958,1.35,3.824,297.011,,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-173855/sphinx-doc__sphinx-8035,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-8035,,
sphinx-doc__sphinx-8056,20260515-172126,20260515-222808,45,47,sphinx-doc/sphinx,sphinx-doc/sphinx,e188d56ed1248dead58f3f8018c0e9a3f99193f7,e188d56ed1248dead58f3f8018c0e9a3f99193f7,passed,passed,True,True,0,0,0.041,243.558,1.641,0.89,5.918,244.769,,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8056,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-8056,,
sphinx-doc__sphinx-8265,20260515-173855,20260515-222808,54,57,sphinx-doc/sphinx,sphinx-doc/sphinx,b428cd2404675475a5c3dc2a2b0790ba57676202,b428cd2404675475a5c3dc2a2b0790ba57676202,passed,passed,True,True,0,0,0.02,262.659,1.536,0.789,3.29,263.814,,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-173855/sphinx-doc__sphinx-8265,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-8265,,
sphinx-doc__sphinx-8269,20260515-175119,20260515-222808,46,37,sphinx-doc/sphinx,sphinx-doc/sphinx,1e2ccd8f0eca0870cf6f8fce6934e2da8eba9b72,1e2ccd8f0eca0870cf6f8fce6934e2da8eba9b72,passed,passed,True,True,0,0,0.014,154.597,4.1,5.809,5.106,160.806,,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-175119/sphinx-doc__sphinx-8269,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-8269,,
sphinx-doc__sphinx-8475,20260515-174550,20260516-112703,57,39,sphinx-doc/sphinx,sphinx-doc/sphinx,3ea1ec84cc610f7a9f4f6b354e264565254923ff,3ea1ec84cc610f7a9f4f6b354e264565254923ff,passed,passed,True,True,0,0,0.012,0.012,4.893,3.508,5.95,3.715,,,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-174550/sphinx-doc__sphinx-8475,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained-reeval-networkfix/20260516-112703/sphinx-doc__sphinx-8475,,
sphinx-doc__sphinx-8548,20260515-172126,20260515-222808,83,100,sphinx-doc/sphinx,sphinx-doc/sphinx,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,failed,failed,False,False,1,1,0.028,468.086,2.337,0.882,6.19,469.298,,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8548,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-8548,,
sphinx-doc__sphinx-8551,20260515-172126,20260515-222808,44,53,sphinx-doc/sphinx,sphinx-doc/sphinx,57ed10c68057c96491acbd3e62254ccfaf9e3861,57ed10c68057c96491acbd3e62254ccfaf9e3861,passed,passed,True,True,0,0,0.033,197.015,3.097,1.404,6.953,198.817,,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8551,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-8551,,
sphinx-doc__sphinx-8638,20260515-172126,20260515-222808,56,63,sphinx-doc/sphinx,sphinx-doc/sphinx,4b452338f914d4f6b54704222d70ae8a746e3db5,4b452338f914d4f6b54704222d70ae8a746e3db5,failed,passed,False,True,1,0,0.05,192.169,3.111,1.608,7.516,194.176,,0,1,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8638,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-8638,,
sphinx-doc__sphinx-8721,20260515-172126,20260515-222808,46,40,sphinx-doc/sphinx,sphinx-doc/sphinx,82ef497a8c88f0f6e50d84520e7276bfbf65025d,82ef497a8c88f0f6e50d84520e7276bfbf65025d,failed,failed,False,False,1,1,0.033,137.194,2.942,1.694,6.849,139.235,,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8721,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-8721,,
sphinx-doc__sphinx-9229,20260515-172126,20260515-222808,101,99,sphinx-doc/sphinx,sphinx-doc/sphinx,876fa81e0a038cda466925b85ccf6c5452e0f685,876fa81e0a038cda466925b85ccf6c5452e0f685,failed,failed,False,False,1,1,0.058,577.289,2.675,1.127,7.001,578.783,,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9229,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-9229,,
sphinx-doc__sphinx-9230,20260515-172126,20260515-222808,49,49,sphinx-doc/sphinx,sphinx-doc/sphinx,567ff22716ac258b9edd2c1711d766b440ac0b11,567ff22716ac258b9edd2c1711d766b440ac0b11,passed,passed,True,True,0,0,0.028,303.429,3.848,3.3,7.746,307.105,,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9230,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-9230,,
sphinx-doc__sphinx-9281,20260515-172126,20260515-222808,58,83,sphinx-doc/sphinx,sphinx-doc/sphinx,8ec06e9a1bd862cd713b9db748e039ccc7b3e15b,8ec06e9a1bd862cd713b9db748e039ccc7b3e15b,failed,failed,False,False,1,2,0.024,292.251,2.389,1.948,6.296,294.731,,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9281,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-9281,,
sphinx-doc__sphinx-9320,20260515-172126,20260515-222808,41,37,sphinx-doc/sphinx,sphinx-doc/sphinx,e05cef574b8f23ab1b57f57e7da6dee509a4e230,e05cef574b8f23ab1b57f57e7da6dee509a4e230,passed,passed,True,True,0,0,0.016,155.874,1.387,6.254,3.192,162.61,,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9320,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-9320,,
sphinx-doc__sphinx-9367,20260515-172126,20260515-222808,38,42,sphinx-doc/sphinx,sphinx-doc/sphinx,6918e69600810a4664e53653d6ff0290c3c4a788,6918e69600810a4664e53653d6ff0290c3c4a788,passed,passed,True,True,0,0,0.026,297.267,0.779,0.798,2.382,298.467,,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9367,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-9367,,
sphinx-doc__sphinx-9461,20260515-172126,20260515-222808,100,78,sphinx-doc/sphinx,sphinx-doc/sphinx,939c7bb7ff7c53a4d27df067cea637540f0e1dad,939c7bb7ff7c53a4d27df067cea637540f0e1dad,failed,failed,False,False,3,3,0.023,341.956,2.628,2.053,4.149,344.404,,0,1,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9461,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-9461,,
sphinx-doc__sphinx-9698,20260515-172126,20260515-222808,45,47,sphinx-doc/sphinx,sphinx-doc/sphinx,f050a7775dfc9000f55d023d36d925a8d02ccfa8,f050a7775dfc9000f55d023d36d925a8d02ccfa8,passed,passed,True,True,0,0,0.031,211.621,2.013,3.376,3.573,215.497,,0,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9698,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie-sphinx-explained/20260515-222808/sphinx-doc__sphinx-9698,,
