run_id,agent_actions,instance_id,repo,base_commit,status,success,failed_tests,agent_seconds,eval_seconds,total_seconds,junie_returncode,eval_returncode,output_dir,error
20260504-162324,25,django__django-12050,django/django,b93a0e34d9b9b99d41103782b7e7aeabf47517e3,passed,True,0,94.961,1.26,102.475,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-12050,
20260504-162324,34,django__django-11951,django/django,312049091288dbba2299de8d07ea3e3311ed7238,passed,True,0,131.745,1.412,139.206,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11951,
20260504-162324,36,django__django-12039,django/django,58c1acb1d6054dfec29d0f30b1033bae6ef62aec,passed,True,0,156.234,1.307,163.763,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-12039,
20260504-162324,51,django__django-11790,django/django,b1d6b35e146aea83b171c1b921178bbaae2795ed,failed,False,2,195.738,1.592,202.975,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11790,
20260504-162324,46,django__django-11815,django/django,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,passed,True,0,205.225,1.256,212.391,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11815,
20260504-162324,38,django__django-11880,django/django,06909fe084f87a65459a83bd69d7cdbe4fce9a7c,passed,True,0,209.449,1.37,216.788,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11880,
20260504-162324,25,django__django-11848,django/django,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,passed,True,0,215.484,1.226,222.652,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11848,
20260504-162324,67,django__django-11964,django/django,fc2b1cc926e34041953738e58fa6ad3053059b22,passed,True,0,254.542,1.196,261.755,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11964,
20260504-162324,45,django__django-11885,django/django,04ac9b45a34440fa447feb6ae934687aacbfc5f4,passed,True,0,287.383,1.554,294.875,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11885,
20260504-162324,62,django__django-11999,django/django,84633905273fc916e3d17883810d9969c03f73c2,passed,True,0,321.382,1.41,328.866,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11999,
20260505-183129,25,django__django-12143,django/django,5573a54d409bb98b5c5acdb308310bed02d392c2,passed,True,0,264.246,3.476,286.311,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12143,
20260505-183129,22,django__django-12155,django/django,e8fcdaad5c428878d0a5d6ba820d957013f75595,passed,True,0,110.289,2.131,132.999,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12155,
20260505-183129,33,django__django-12193,django/django,3fb7c12158a2402f0f80824f6778112071235803,passed,True,0,369.671,1.715,388.666,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12193,
20260505-183129,48,django__django-12209,django/django,5a68f024987e6d16c2626a31bf653a2edddea579,failed,False,9,409.759,348.948,779.842,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12209,
20260505-183129,34,django__django-12262,django/django,69331bb851c34f05bc77e9fc24020fe6908b9cd5,passed,True,0,153.32,3.273,178.306,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12262,
20260505-183129,53,django__django-12273,django/django,927c903f3cd25c817c21738328b53991c035b415,passed,True,0,399.754,2.959,424.326,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12273,
20260505-183129,29,django__django-12276,django/django,53d8646f799de7f92ab9defe9dc56c6125448102,passed,True,0,149.062,2.822,172.326,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12276,
20260505-183129,45,django__django-12304,django/django,4c1b401e8250f9f520b3c7dc369554477ce8b15a,passed,True,0,189.069,8.217,217.122,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12304,
20260505-183129,46,django__django-12308,django/django,2e0f04507b17362239ba49830d26fec504d46978,failed,False,1,258.784,2.124,282.433,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12308,
20260505-183129,28,django__django-12325,django/django,29c126bb349526b5f1cd78facbe9f25906f18563,failed,False,2,159.611,4.879,183.848,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12325,
20260505-183129,45,django__django-12406,django/django,335c9c94acf263901fb023404408880245b0c4b4,failed,False,4,254.251,5.008,266.141,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12406,
20260505-183129,34,django__django-12708,django/django,447980e72ac01da1594dd3373a03ba40b7ee6f80,passed,True,0,219.204,3.889,233.27,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12708,
20260505-183129,20,django__django-12713,django/django,5b884d45ac5b76234eca614d90c83b347294c332,passed,True,0,117.653,7.291,133.601,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12713,
20260505-183129,56,django__django-12774,django/django,67f9d076cfc1858b94f9ed6d1a5ce2327dcc8d0d,passed,True,0,321.809,3.794,331.348,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-12774,
20260505-183129,16,django__django-9296,django/django,84322a29ce9b0940335f8ab3d60e55192bef1e50,passed,True,0,55.115,3.71,64.788,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260505-183129/django__django-9296,
,,,,,,,,,,,,,,
