instance_id,repo,files
django__django-11790,django/django,django/contrib/auth/forms.py
django__django-11815,django/django,django/db/migrations/serializer.py
django__django-11848,django/django,django/utils/http.py
django__django-11880,django/django,django/forms/fields.py
django__django-11885,django/django,django/contrib/admin/utils.py;django/db/models/deletion.py
django__django-11951,django/django,django/db/models/query.py
django__django-11964,django/django,django/db/models/enums.py
django__django-11999,django/django,django/db/models/fields/__init__.py
django__django-12039,django/django,django/db/backends/ddl_references.py
django__django-12050,django/django,django/db/models/sql/query.py
django__django-12143,django/django,django/contrib/admin/options.py
django__django-12155,django/django,django/contrib/admindocs/utils.py;django/contrib/admindocs/views.py
django__django-12193,django/django,django/forms/widgets.py
django__django-12209,django/django,django/db/models/base.py
django__django-12262,django/django,django/template/library.py
django__django-12273,django/django,django/db/models/base.py
django__django-12276,django/django,django/forms/widgets.py
django__django-12304,django/django,django/db/models/enums.py
django__django-12308,django/django,django/contrib/admin/utils.py
django__django-12325,django/django,django/db/models/base.py;django/db/models/options.py
django__django-12406,django/django,django/db/models/fields/related.py;django/forms/models.py
django__django-12708,django/django,django/db/backends/base/schema.py
django__django-12713,django/django,django/contrib/admin/options.py
django__django-12774,django/django,django/db/models/query.py
django__django-9296,django/django,django/core/paginator.py
sphinx-doc__sphinx-10323,sphinx-doc/sphinx,sphinx/directives/code.py
sphinx-doc__sphinx-10435,sphinx-doc/sphinx,sphinx/writers/latex.py
sphinx-doc__sphinx-10466,sphinx-doc/sphinx,sphinx/builders/gettext.py
sphinx-doc__sphinx-10673,sphinx-doc/sphinx,sphinx/directives/other.py;sphinx/environment/adapters/toctree.py;sphinx/environment/collectors/toctree.py
sphinx-doc__sphinx-11510,sphinx-doc/sphinx,sphinx/directives/other.py
sphinx-doc__sphinx-7590,sphinx-doc/sphinx,sphinx/domains/c.py;sphinx/domains/cpp.py;sphinx/util/cfamily.py
sphinx-doc__sphinx-7748,sphinx-doc/sphinx,sphinx/ext/autodoc/__init__.py
sphinx-doc__sphinx-7757,sphinx-doc/sphinx,sphinx/util/inspect.py
sphinx-doc__sphinx-7985,sphinx-doc/sphinx,sphinx/builders/linkcheck.py
sphinx-doc__sphinx-8035,sphinx-doc/sphinx,sphinx/ext/autodoc/__init__.py
sphinx-doc__sphinx-8056,sphinx-doc/sphinx,sphinx/ext/napoleon/docstring.py
sphinx-doc__sphinx-8265,sphinx-doc/sphinx,sphinx/pycode/ast.py
sphinx-doc__sphinx-8269,sphinx-doc/sphinx,sphinx/builders/linkcheck.py
sphinx-doc__sphinx-8475,sphinx-doc/sphinx,sphinx/builders/linkcheck.py
sphinx-doc__sphinx-8548,sphinx-doc/sphinx,sphinx/ext/autodoc/__init__.py;sphinx/ext/autodoc/importer.py
sphinx-doc__sphinx-8551,sphinx-doc/sphinx,sphinx/domains/python.py;sphinx/util/docfields.py
sphinx-doc__sphinx-8638,sphinx-doc/sphinx,sphinx/domains/python.py
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,sphinx/ext/viewcode.py
sphinx-doc__sphinx-9229,sphinx-doc/sphinx,sphinx/ext/autodoc/__init__.py
sphinx-doc__sphinx-9230,sphinx-doc/sphinx,sphinx/util/docfields.py
sphinx-doc__sphinx-9281,sphinx-doc/sphinx,sphinx/util/inspect.py
sphinx-doc__sphinx-9320,sphinx-doc/sphinx,sphinx/cmd/quickstart.py
sphinx-doc__sphinx-9367,sphinx-doc/sphinx,sphinx/pycode/ast.py
sphinx-doc__sphinx-9461,sphinx-doc/sphinx,sphinx/domains/python.py;sphinx/ext/autodoc/__init__.py;sphinx/util/inspect.py
sphinx-doc__sphinx-9698,sphinx-doc/sphinx,sphinx/domains/python.py
